kategori,hiragana,katakana,romaji,arti,tipe,catatan
"frase,verbphrase,variasi",くるまをくる（れい20963）,,kuruma o kuru-20963,datang mobil (var-20963),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi",あたまをします（れい20002）（れい20303）（れい22866）,,atama o shimasu-20002-20303-22866,melakukan kepala (var-20002) (var-20303) (var-22866),phrase,auto-pad
"kata sifat,adjective",あたらしい,,atarashii,baru,adjective,
"frase,verbphrase,variasi",ちちをきく（れい21537）,,chichi o kiku-21537,mendengar ayah (saya) (var-21537),phrase,auto-pad
"frase,verbphrase,variasi",いぬをのむます（れい21232）,,inu o nomimasu-21232,minum (sopan) anjing (var-21232),phrase,auto-pad
"frase,verbphrase",ほんをのむ,,hon o nomu,minum buku,phrase,
"frase,verbphrase",みずをはなすます,,mizu o hanasimasu,berbicara (sopan) air,phrase,
"frase,verbphrase,variasi",バスをかくます（れい21427）,,basu o kakimasu-21427,menulis (sopan) bus (var-21427),phrase,auto-pad
"frase,verbphrase,variasi",くるまをする（れい22272）,,kuruma o suru-22272,melakukan mobil (var-22272),phrase,auto-pad
"frase,verbphrase,variasi",バスをのむ（れい21953）,,basu o nomu-21953,minum bus (var-21953),phrase,auto-pad
"angka,variasi,variasi,variasi,variasi,variasi",きゅう（れい20113）（れい20284）（れい22100）（れい22533）（れい23698）,,kyuu-20113-20284-22100-22533-23698,sembilan (var-20113) (var-20284) (var-22100) (var-22533) (var-23698),number,auto-pad
"kata benda,benda,frase,like,variasi,variasi,variasi",つくえがすきです（れい20386）（れい26070）（れい28018）,,tsukue ga suki desu-20386-26070-28018,suka meja (var-20386) (var-26070) (var-28018),phrase,auto-pad
"frase,verbphrase,variasi",いもうとをかくます（れい20773）,,imouto o kakimasu-20773,menulis (sopan) adik perempuan (var-20773),phrase,auto-pad
"kata benda,benda,komposit,variasi",あたまのはは（れい20684）,,atama no haha-20684,kepala dari ibu (saya) (var-20684),compound,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ははをある（れい20189）（れい20191）（れい22211）,,haha o aru-20189-20191-22211,ada (benda) ibu (saya) (var-20189) (var-20191) (var-22211),phrase,auto-pad
"frase,verbphrase",あしをいく,,ashi o iku,pergi kaki,phrase,
"frase,verbphrase,variasi,variasi",パンをあます（れい20995）（れい22520）,,pan o arimasu-20995-22520,ada (benda) (sopan) roti (var-20995) (var-22520),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いすをねる（れい20888）（れい24092）（れい25032）,,isu o neru-20888-24092-25032,tidur kursi (var-20888) (var-24092) (var-25032),phrase,auto-pad
"frase,verbphrase,variasi,variasi",スマホをきくます（れい21836）（れい22033）,,sumaho o kikimasu-21836-22033,mendengar (sopan) smartphone (var-21836) (var-22033),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",ねこをみる（れい23188）（れい23659）（れい24144）（れい26847）（れい27848）,,neko o miru-23188-23659-24144-26847-27848,melihat kucing (var-23188) (var-23659) (var-24144) (var-26847) (var-27848),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",ほんをよむ（れい20390）（れい21831）（れい25162）（れい25420）（れい26132）,,hon o yomu-20390-21831-25162-25420-26132,membaca buku (var-20390) (var-21831) (var-25162) (var-25420) (var-26132),phrase,auto-pad
"frase,verbphrase",くるまをする,,kuruma o suru,melakukan mobil,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",じてんしゃをくます（れい20145）（れい20245）（れい20543）（れい21755）（れい23462）,,jitensha o kimasu-20145-20245-20543-21755-23462,datang (sopan) sepeda (var-20145) (var-20245) (var-20543) (var-21755) (var-23462),phrase,auto-pad
"kata kerja,verb,variasi",ある（れい20663）,,aru-20663,ada (benda) (var-20663),verb (dictionary),auto-pad
"frase,verbphrase,variasi,variasi",スマホをのむます（れい20962）（れい21006）,,sumaho o nomimasu-20962-21006,minum (sopan) smartphone (var-20962) (var-21006),phrase,auto-pad
"frase,verbphrase,variasi",くるまをすます（れい20668）,,kuruma o shimasu-20668,melakukan (sopan) mobil (var-20668),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをはなす（れい20061）（れい20635）,,tsukue o hanasu-20061-20635,berbicara meja (var-20061) (var-20635),phrase,auto-pad
