kategori,hiragana,katakana,romaji,arti_id,arti_en,tipe,polite,catatan,contoh_jp,contoh_en,contoh_id
angka,いち,ー,ichi,satu,one,number,ー,ー,いちつください。,Please give me one.,Tolong berikan satu.
angka,に,ー,ni,dua,two,number,ー,ー,りんごがにあります。,There are two apples.,Ada dua apel.
angka,さん,ー,san,tiga,three,number,ー,ー,みかんをさんこください。,Please give me three tangerines.,Tolong berikan tiga jeruk.
makanan,りんご,リンゴ,ringo,apel,apple,noun,ー,umum,りんごをたべます。,I eat an apple.,Saya makan sebuah apel.
makanan,ごはん,ー,gohan,nasi,cooked rice/meal,noun,ー,food,ごはんをたべます。,I eat rice.,Saya makan nasi.
aktivitas,たべる,ー,taberu,makan,eat,verb,tabemasu,verb grup 2,ごはんをたべます。,I eat rice.,Saya makan nasi.
aktivitas,のむ,ー,nomu,minum,drink,verb,nomimasu,verb grup 1,みずをのみます。,I drink water.,Saya minum air.
benda,ほん,ー,hon,buku,book,noun,ー,ー,ほんをよみます。,I read a book.,Saya membaca buku.
benda,つくえ,ー,tsukue,meja,desk,noun,ー,furniture,つくえのうえにペンがあります。,There is a pen on the desk.,Ada pena di atas meja.
keluarga,おとうさん,ー,otousan,ayah,father,noun,ー,polite (address),おとうさんはげんきです。,My father is well.,Ayah saya sehat.
ekspresi,こんにちは,ー,konnichiwa,halo,hello,expression,ー,greeting,こんにちは、げんきですか。,"Hello, how are you?","Halo, apa kabar?"
ekspresi,ありがとうございます,ー,arigatou gozaimasu,terima kasih,thank you,expression,ー,sopan,どうもありがとうございます。,Thank you very much.,Terima kasih banyak.
warna,あか,ー,aka,merah,red,noun,ー,color,あかいくるま。,A red car.,Mobil merah.
waktu,きょう,ー,kyou,hari ini,today,noun,ー,temporal,きょうはあついです。,It's hot today.,Hari ini panas.
pendidikan,がっこう,ガッコウ,gakkou,sekolah,school,noun,ー,institution,がっこうへいきます。,I go to school.,Saya pergi ke sekolah.
transportasi,でんしゃ,デンシャ,densha,kereta,train,noun,ー,transport,でんしゃでいきます。,I go by train.,Saya pergi dengan kereta.
sifat,たかい,ー,takai,mahal/tinggi,expensive/high,adjective,ー,i-keiyoushi,このシャツはたかいです。,This shirt is expensive.,Kemeja ini mahal.
emosi,うれしい,ー,ureshii,senang,happy,adjective,ー,i-keiyoushi,きょうはうれしいです。,I'm happy today.,Hari ini saya senang.
hewan,ねこ,ネコ,neko,kucing,cat,noun,ー,animal,ねこがすきです。,I like cats.,Saya suka kucing.
hewan,いぬ,イヌ,inu,anjing,dog,noun,ー,animal,いぬとさんぽします。,I walk with the dog.,Saya jalan-jalan dengan anjing.
cuaca,あめ,ー,ame,hujan,rain,noun,ー,weather,あめがふっています。,It's raining.,Sedang hujan.
waktu,あした,ー,ashita,besok,tomorrow,noun,ー,temporal,あしたやすみです。,Tomorrow is a holiday.,Besok libur.
kata tanya,なに,ー,nani,apa,what,question,ー,wh-word,これはなにですか。,What is this?,Ini apa?
kata tanya,どこ,ー,doko,di mana,where,question,ー,wh-word,トイレはどこですか。,Where is the toilet?,Di mana toilet?
kata tanya,いつ,ー,itsu,kapan,when,question,ー,wh-word,いついきますか。,When will you go?,Kapan kamu pergi?
ekspresi,すみません,ー,sumimasen,permisi/maaf,excuse me/sorry,expression,ー,polite,すみません、ちょっといいですか。,"Excuse me, may I?","Permisi, boleh?"
belanja,いくら,ー,ikura,berapa harganya?,how much?,phrase,ー,question,これはいくらですか。,How much is this?,Berapa harga ini?
pekerjaan,しごと,ー,shigoto,pekerjaan,work,noun,ー,activity,しごとにいきます。,I go to work.,Saya pergi kerja.
tempat,みせ,ミセ,mise,toko,shop,noun,ー,place,みせでかいものします。,I shop at the store.,Saya berbelanja di toko.
teknologi,コンピュータ,コンピュータ,konpyu-ta,komputer,computer,noun,ー,tech,コンピュータをつかいます。,I use the computer.,Saya menggunakan komputer.
kesehatan,びょういん,ビョウイン,byouin,rumah sakit,hospital,noun,ー,facility,びょういんへいきます。,I go to the hospital.,Saya pergi ke rumah sakit.
darurat,たすけて,ー,tasukete,tolong!,help!,expression,ー,urgent,たすけて！,Help!,Tolong!
kesehatan,りんごや,ー,ringoya,りんごや_id,りんごや_en,noun,ー,compound_屋,りんごやはよくつかわれます。,りんごや is commonly used.,りんごや sering digunakan.
pekerjaan,りんごみせ,ー,ringomise,りんごみせ_id,りんごみせ_en,noun,ー,compound_店,りんごみせはよくつかわれます。,りんごみせ is commonly used.,りんごみせ sering digunakan.
warna,りんごしゃ,ー,ringosha,りんごしゃ_id,りんごしゃ_en,noun,ー,compound_者,りんごしゃはよくつかわれます。,りんごしゃ is commonly used.,りんごしゃ sering digunakan.
