kategori,jepang,romaji,arti,tipe,catatan
angka,いち（れい7873）（れい8668）（れい7939）（れい4143）,ichi-7873-8668-7939-4143,satu (var-7873) (var-8668) (var-7939) (var-4143),angka,auto-var
kata kerja,たべる（れい9165）,taberu-9165,makan (var-9165),kata kerja,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい6967）（れい6280）（れい5169）（れい2865）（れい9060）,otousan-2679-8651-9288-6967-6280-5169-2865-9060,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-6967) (var-6280) (var-5169) (var-2865) (var-9060),kata benda,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい5351）（れい5708）（れい4287）（れい4963）,ie ni ikimasu-5374-8579-7615-5351-5708-4287-4963,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-5351) (var-5708) (var-4287) (var-4963),frase,auto-var
frase,たのしいをします（れい4611）（れい3060）（れい5022）（れい8061）（れい6536）,tanoshii o shimasu-4611-3060-5022-8061-6536,Melakukan menyenangkan (var-4611) (var-3060) (var-5022) (var-8061) (var-6536),frase,auto-var
frase,えいががすきです（れい7543）（れい8199）（れい8729）,eiga ga suki desu-7543-8199-8729,Saya suka film (var-7543) (var-8199) (var-8729),frase,auto-var
rumah_harian,いえ（れい8018）（れい7108）（れい6649）,ie-8018-7108-6649,rumah (var-8018) (var-7108) (var-6649),kata benda,auto-var
frase,たべるをみます（れい9751）（れい2827）（れい6180）（れい2496）（れい8020）,taberu o mimasu-9751-2827-6180-2496-8020,Menonton makan (var-9751) (var-2827) (var-6180) (var-2496) (var-8020),frase,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい9837）（れい7334）（れい3608）（れい1550）,sensei o mimasu-4657-6881-9837-7334-3608-1550,Menonton guru (var-4657) (var-6881) (var-9837) (var-7334) (var-3608) (var-1550),frase,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい7868）（れい9938）（れい9976）（れい6934）,otousan-2679-1828-7868-9938-9976-6934,ayah (sopan) (var-2679) (var-1828) (var-7868) (var-9938) (var-9976) (var-6934),kata benda,auto-var
sekolah,せんせい（れい5012）（れい9308）（れい5438）（れい7367）,sensei-5012-9308-5438-7367,guru (var-5012) (var-9308) (var-5438) (var-7367),kata benda,auto-var
frase,おんがくをします（れい8573）（れい2290）（れい4470）（れい5246）（れい9281）,ongaku o shimasu-8573-2290-4470-5246-9281,Melakukan musik (var-8573) (var-2290) (var-4470) (var-5246) (var-9281),frase,auto-var
perkenalan,こんにちは（れい7807）（れい9281）（れい5825）（れい2654）,konnichiwa-7807-9281-5825-2654,halo (var-7807) (var-9281) (var-5825) (var-2654),ungkapan,auto-var
